NUMBER_PR,SYSTEM,URL,NFR_TYPE,PHRASE,KEYWORDS,LOCATION,OBS,ISSUE
6850,Spring Security,https://github.com/spring-projects/spring-security/pull/6850,"Security, Maintainability, Robustness","""I think that along with that we should update the documentation to explain that when extending WebSecurityConfigurerAdapter is needed too (i.e. when we need to modify the default behavior of web based security)."", ""This is explained in chapters 6.2 - 6.5. You may be right that this documentation fragment is not perfect and it could use some refactoring. But the intention of this patch is just to fix an obvious bug - wrong class name used in the example.""","security, refactoring, bug, documentation",Comment,-,https://github.com/spring-projects/spring-security/issues/6809
6129,Spring Security,https://github.com/spring-projects/spring-security/pull/6129,None,-,-,-,-,https://github.com/spring-projects/spring-security/issues/6128
7710,Spring Security,https://github.com/spring-projects/spring-security/pull/7710,None,-,-,-,"Fala de access token, mas na minha opinião é um requisito funcional que está sendo discutido.",https://github.com/spring-projects/spring-security/issues/7709
3700,Spring Security,https://github.com/spring-projects/spring-security/pull/3700,None,-,-,-,-,https://github.com/spring-projects/spring-security/issues/3697
10348,Spring Security,https://github.com/spring-projects/spring-security/pull/10348,Maintainability,"""And tell me please, is it OK to do some small organizational PR like fix broken javadoc links or typos in some small files (like in plugin configs).""","javadoc, typos",Comment,-,https://github.com/spring-projects/spring-security/issues/8974
11433,Spring Security,https://github.com/spring-projects/spring-security/pull/11433,None,-,-,-,-,https://github.com/spring-projects/spring-security/issues/11432
10924,Spring Security,https://github.com/spring-projects/spring-security/pull/10924,None,-,-,-,-,https://github.com/spring-projects/spring-security/issues/10799
10278,Spring Security,https://github.com/spring-projects/spring-security/pull/10278,None,-,-,-,-,https://github.com/spring-projects/spring-security/issues/10273
11366,Spring Security,https://github.com/spring-projects/spring-security/pull/5376,None,-,-,-,-,https://github.com/spring-projects/spring-security/issues/11307
5376,Spring Security,,None,-,-,-,-,https://github.com/spring-projects/spring-security/issues/4839
8771,Spring Security,https://github.com/spring-projects/spring-security/pull/8771,None,-,-,-,-,https://github.com/spring-projects/spring-security/issues/8697
8424,Spring Security,https://github.com/spring-projects/spring-security/pull/8424,None,-,-,-,-,https://github.com/spring-projects/spring-security/issues/8421
7996,Spring Security,https://github.com/spring-projects/spring-security/pull/7996,Performance,"""Add lazy Exception instantiation and reduce amount of
reactor operators to reduce allocations""","""reduce allocations"", ""lazy exceptions""","Description, Discussion",,https://github.com/spring-projects/spring-security/issues/7995
7597,Spring Security,https://github.com/spring-projects/spring-security/pull/7597,Maintainability,"""This PR also refactors the OAuth2ResourceServerConfigurer to make better use of the newly introduced way of managing aforementioned converters.""","""refactors"" ""to make better use""",Description,"ok, é uma manutenção, mas não fica claro para mim se a principal contribuição é melhor a manutenibilidade",https://github.com/spring-projects/spring-security/issues/7596
5307,Spring Security,https://github.com/spring-projects/spring-security/pull/5307,Maintainability,"""InMemoryOAuth2AuthorizedClientService cannot contain the logic for storing in the HttpSession. It breaks the rule of single responsibility.""","""single responsibility""",discussion,,https://github.com/spring-projects/spring-security/issues/5064
10111,Spring Security,https://github.com/spring-projects/spring-security/pull/10111,None,,,,idem,https://github.com/spring-projects/spring-security/issues/10109
11309,Spring Security,https://github.com/spring-projects/spring-security/pull/11309,None,,,,idem,https://github.com/spring-projects/spring-security/issues/11304
6878,Spring Security,https://github.com/spring-projects/spring-security/pull/6878,None,,,,"falta clareza, tem a ver com javadoc",https://github.com/spring-projects/spring-security/issues/3337
7221,Spring Security,https://github.com/spring-projects/spring-security/pull/7221,Security,"""Add support to avoid timing attacks in the csrf tokens""","""timing attacks""",Title,não foi implementado,https://github.com/spring-projects/spring-security/issues/4001
10588,Spring Security,https://github.com/spring-projects/spring-security/pull/10588,None,,,,,https://github.com/spring-projects/spring-security/issues/10566
7080,Spring Security,https://github.com/spring-projects/spring-security/pull/7080,Maintainability,"""Changed docs to reflect that init should apply configurers""","""reflect""",Title,é uma interepretação pessoal que a documentação desatualizada irá impactar na manutenibilidade,https://github.com/spring-projects/spring-security/issues/7038
11464,Spring Security,https://github.com/spring-projects/spring-security/pull/11464,Security,"""Add SHA256 as an algorithm option for Remember Me token hashing""","""SHA256"" 'token hashing""",Title,,https://github.com/spring-projects/spring-security/issues/8549
9333,Spring Security,https://github.com/spring-projects/spring-security/pull/9333,None,,,,,https://github.com/spring-projects/spring-security/issues/9314
11187,Spring Security,https://github.com/spring-projects/spring-security/pull/11187,None,,,,,https://github.com/spring-projects/spring-security/issues/9667
4621,Spring Security,https://github.com/spring-projects/spring-security/pull/4621,None,,,,,https://github.com/spring-projects/spring-security/issues/4620
7231,Spring Security,https://github.com/spring-projects/spring-security/pull/7231,None,,,,,https://github.com/spring-projects/spring-security/issues/5942
11081,Spring Security,https://github.com/spring-projects/spring-security/pull/11081,Security,"""Remove SAML Deprecations""","""SAML Deprecations""",Title,,https://github.com/spring-projects/spring-security/issues/11077
